,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Stage 3 Job Size,Job Time
0,1.0,11.556573187822645,32.65630419632698,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.099731008504335
1,2.0,13.444255329222536,40.56485943157029,1.0,1.0,0.0,0.0,1.0,1.0,1.0,27.120604102347755
2,3.0,15.221958869792429,48.34961966547609,2.0,2.0,0.0,0.0,1.0,1.0,1.0,33.12766079568366
3,4.0,20.173064208636607,56.45211095126527,3.0,2.0,1.0,0.0,1.0,1.0,1.0,36.279046742628665
4,5.0,64.34005952984832,85.46592033501108,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.12586080516276
5,6.0,79.45465643685114,100.22860084915851,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.773944412307372
6,7.0,131.59997183655196,152.37830124157895,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.778329405026994
7,8.0,154.91178900490704,175.42794570795465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.516156703047614
8,9.0,209.00325978619517,230.18460880079098,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.18134901459581
9,10.0,250.1958940034773,271.1229185254159,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.92702452193862
10,11.0,332.613168362994,353.392668532083,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.779500169089033
11,12.0,383.74674930661894,405.10966048068315,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.36291117406421
12,13.0,397.0351422177845,417.86770406070207,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.832561842917585
13,14.0,403.1970563854221,425.69584760320663,2.0,1.0,0.0,1.0,1.0,1.0,1.0,22.498791217784515
14,15.0,495.64512658620333,517.1386829387878,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.493556352584505
15,16.0,539.245709906435,560.3318026046256,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.08609269819067
16,17.0,636.2387978834744,657.0305951453183,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.791797261843953
17,18.0,647.2661843798173,668.1528537600774,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.88666938026006
18,19.0,673.3657226331779,694.0887412884566,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.72301865527868
19,20.0,707.9006456843284,728.9106769948216,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.01003131049322
20,21.0,756.4646338823388,777.783202137808,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.31856825546913
21,22.0,764.8168144452222,785.7506637988264,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.93384935360416
22,23.0,766.1429743216963,793.7425047763647,2.0,1.0,1.0,0.0,1.0,1.0,1.0,27.59953045466841
23,24.0,836.9201660522459,857.9235329704586,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.00336691821269
24,25.0,843.334479890487,865.9960681736054,1.0,1.0,0.0,0.0,1.0,1.0,1.0,22.661588283118363
25,26.0,873.6377930438476,894.3148967164539,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.677103672606222
26,27.0,891.0462696657793,912.332771455931,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.28650179015176
27,28.0,907.6415011390203,928.5618498705501,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.92034873152977
28,29.0,924.4489923534892,945.2398757835315,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.7908834300423
29,30.0,966.3265479527947,987.2731455440055,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.946597591210775
30,31.0,979.6021962694005,1000.4656810603806,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.863484790980124
31,32.0,983.5755541133497,1008.5304820822247,2.0,1.0,0.0,1.0,1.0,1.0,1.0,24.95492796887504
32,33.0,989.2806665635718,1016.7525696551238,2.0,1.0,1.0,0.0,1.0,1.0,1.0,27.471903091552008
33,34.0,1067.045255329751,1087.3935253418333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.348270012082367
