,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Stage 3 Job Size,Job Time
0,1.0,2.350389763561519,23.17030963958732,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.8199198760258
1,2.0,12.37825913435048,33.107588279297225,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.729329144946746
2,3.0,30.24759516564727,51.4822781184002,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.234682952752934
3,4.0,56.39049839969883,77.3754791740256,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.984980774326772
4,5.0,81.13187385442436,102.12908350127317,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.997209646848816
5,6.0,89.74434872061269,110.50753045633923,1.0,0.0,1.0,0.0,1.0,1.0,1.0,20.763181735726533
6,7.0,94.2542704131743,118.59348072000465,2.0,1.0,1.0,0.0,1.0,1.0,1.0,24.339210306830353
7,8.0,112.0655705120925,133.4872818789605,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.42171136686798
8,9.0,115.24610422755842,141.6755699174654,2.0,1.0,0.0,1.0,1.0,1.0,1.0,26.429465689906976
9,10.0,122.96634956919152,149.63022980642495,2.0,1.0,1.0,0.0,1.0,1.0,1.0,26.66388023723343
10,11.0,127.93359248987197,157.66462305438523,3.0,1.0,1.0,1.0,1.0,1.0,1.0,29.73103056451326
11,12.0,143.63425771921004,165.87949283918863,2.0,0.0,1.0,1.0,1.0,1.0,1.0,22.245235119978588
12,13.0,153.68752946575702,174.8757053401225,2.0,0.0,1.0,1.0,1.0,1.0,1.0,21.18817587436547
13,14.0,157.34649180049155,182.96146041818037,3.0,1.0,0.0,2.0,1.0,1.0,1.0,25.614968617688817
14,15.0,162.50545179411625,190.95518855972765,3.0,1.0,1.0,1.0,1.0,1.0,1.0,28.44973676561139
15,16.0,168.90159975439104,198.88586080540492,3.0,1.0,1.0,1.0,1.0,1.0,1.0,29.984261051013874
16,17.0,184.35847095522286,207.0952511352539,2.0,0.0,1.0,1.0,1.0,1.0,1.0,22.736780180031047
17,18.0,225.37267585346294,246.7123096349147,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.339633781451766
18,19.0,227.01625524309358,254.53619388168508,1.0,1.0,0.0,0.0,1.0,1.0,1.0,27.519938638591498
19,20.0,240.08727685436884,262.75389271196957,2.0,0.0,1.0,1.0,1.0,1.0,1.0,22.666615857600732
20,21.0,243.26935688748242,270.7731130499951,3.0,1.0,1.0,1.0,1.0,1.0,1.0,27.5037561625127
21,22.0,245.5587101484367,278.5798828535594,4.0,2.0,0.0,2.0,1.0,1.0,1.0,33.02117270512272
22,23.0,286.15205615986355,307.03465225463475,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.882596094771202
23,24.0,293.1956578583758,315.1932454144821,1.0,0.0,1.0,0.0,1.0,1.0,1.0,21.997587556106282
24,25.0,302.40589399061975,323.0197979632557,2.0,0.0,1.0,1.0,1.0,1.0,1.0,20.613903972635967
25,26.0,310.5928360302142,331.73450917753416,2.0,0.0,1.0,1.0,1.0,1.0,1.0,21.141673147319977
26,27.0,322.0086902352633,342.99065862172165,2.0,0.0,1.0,1.0,1.0,1.0,1.0,20.981968386458334
27,28.0,322.56041849713364,350.85544909256527,3.0,1.0,1.0,1.0,1.0,1.0,1.0,28.295030595431626
28,29.0,337.58335735864375,358.8572080148453,2.0,0.0,1.0,1.0,1.0,1.0,1.0,21.273850656201546
