,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,50.91608462322505,71.91977224961013,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.00368762638508
1,2.0,60.48442402678465,87.76504670003962,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,27.280622673254967
2,3.0,98.20276339302328,127.12997886287869,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.927215469855412
3,4.0,131.25850908114103,152.02709428063426,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.76858519949323
4,5.0,139.52346322312934,168.77593423746683,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,29.252471014337488
5,6.0,156.39423488087868,177.60891593559904,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.21468105472036
6,7.0,158.84658922096628,179.29589271500527,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20.449303494038986
7,8.0,186.5207024678995,207.2180248178334,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.6973223499339
8,9.0,210.00866163914807,231.02845770994634,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.019796070798265
9,10.0,227.01693956991159,248.0613691716746,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.044429601763028
10,11.0,241.27693558418864,270.3865365572551,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,29.109600973066478
11,12.0,242.12522785841767,270.92554671717306,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,28.80031885875539
12,13.0,243.01080948033226,278.31678939465473,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,35.30597991432248
13,15.0,278.1252455940375,298.9521937752291,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20.826948181191597
14,14.0,273.7016797973342,302.1824891293715,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,28.480809332037325
15,16.0,280.0671023206928,306.9274333807523,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,26.86033106005948
16,17.0,284.7383075037986,310.2954983835885,3.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,25.557190879789914
17,18.0,319.19236574397866,348.0707098190563,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.87834407507762
18,19.0,334.55221098900677,355.34944100624665,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.797230017239883
19,20.0,381.43999410048207,410.24714131967966,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.80714721919759
20,21.0,406.669639566677,427.5338498805004,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.864210313823378
21,22.0,434.9017016079268,463.692640512302,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.790938904375196
22,23.0,442.0957088065458,471.2415336940571,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,29.14582488751131
23,24.0,442.3661599804633,471.4975660550557,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,29.131406074592405
24,25.0,473.0695165941064,494.08316981244207,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.013653218335662
25,26.0,476.9346610792248,504.56494535443466,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,27.630284275209874
26,27.0,503.15387697982976,532.6574520868852,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,29.50357510705544
27,28.0,533.7879645271598,554.6481516579083,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.8601871307485
28,29.0,538.9950293437109,568.139268903161,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,29.144239559450057
29,30.0,568.3086813787155,597.7627833409326,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.454101962217123
30,31.0,664.1356221517594,685.3363471937027,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.200725041943315
31,32.0,669.0919194509111,697.1318872698674,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,28.03996781895637
32,33.0,669.1748112892333,698.6135313329405,2.0,2.0,0.0,0.0,1.0,2.0,3.0,1.0,29.438720043707235
33,34.0,701.5707735206939,728.7864210489656,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.21564752827169
34,35.0,748.5293694924536,777.7647039502522,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.235334457798558
35,36.0,785.0710131247561,805.8954123299146,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.824399205158556
36,37.0,930.9659621923568,951.8916524282807,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.92569023592398
37,38.0,942.8644347988094,964.4067400378218,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,21.54230523901242
38,39.0,972.8139924979956,993.7996299273701,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.985637429374492
39,40.0,1023.3292619233026,1050.8906224599955,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.56136053669286
40,41.0,1038.8324781536191,1059.6727413858678,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,20.840263232248617
41,42.0,1107.017253424328,1128.2588679590099,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.241614534681958
42,43.0,1129.0562159147132,1156.6001901604104,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.5439742456972
43,44.0,1149.7508533566288,1170.916114644987,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.165261288358124
44,45.0,1203.0858038801832,1230.722395285206,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.636591405022727
45,46.0,1223.847753973693,1245.0999348109285,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.252180837235528
46,47.0,1232.0812632930945,1252.7831806911986,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,20.701917398104115
47,48.0,1288.7341560711488,1309.8195132971018,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.085357225952976
48,49.0,1292.5339146500519,1321.1067936415832,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,28.572878991531297
49,50.0,1327.192572899895,1356.400500438978,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.20792753908313
50,51.0,1352.582072877538,1373.3183816528465,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.736308775308544
51,52.0,1354.0907726552684,1375.203475865048,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,21.11270320977951
52,53.0,1383.2655749616379,1412.4516183284632,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.186043366825288
53,55.0,1433.4181262931693,1454.7970772283586,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.378950935189323
54,54.0,1431.7012033349913,1459.0465508880357,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.34534755304435
55,56.0,1486.2259779081874,1507.2716580658332,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.045680157645847
56,57.0,1511.8169523469405,1541.2916133281822,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.47466098124164
57,59.0,1555.5817146702211,1576.7303873422495,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.148672672028397
58,58.0,1549.9726911321636,1578.5469754530966,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.574284320932975
59,61.0,1619.2513346945861,1639.9058660861622,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.65453139157603
60,60.0,1615.2685113870348,1643.8157204191862,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.547209032151386
61,62.0,1654.5854254126782,1681.934791448869,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.34936603619076
62,63.0,1766.2599947475583,1793.1414158872112,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,26.881421139652957
63,64.0,1807.2963285830704,1836.4288604039582,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.132531820887834
64,65.0,1851.7227747234933,1879.2324611542178,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.509686430724514
65,66.0,1872.160723807953,1893.0245475042743,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.863823696321333
66,67.0,1894.1397099510466,1915.3366908964806,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.196980945434007
67,68.0,1898.373096171344,1925.542912718326,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,27.16981654698202
