,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,9.889701205289597,37.71042792332793,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.82072671803833
1,2.0,20.574478871261498,49.74396830216314,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,29.169489430901642
2,3.0,61.27178477185448,90.7016268804945,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.429842108640024
3,4.0,87.53138695206826,116.50204305942597,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,28.970656107357712
4,5.0,104.64907606889551,125.43800804607508,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.788931977179573
5,6.0,132.24358792687687,159.50910054352636,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.265512616649488
6,7.0,136.38029055262535,165.02981398891134,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,28.64952343628599
7,8.0,155.73106955904393,177.17649540459496,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,21.44542584555103
8,9.0,164.00275883735523,192.71585314595586,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,28.71309430860063
9,10.0,172.28637242833562,201.71138495421772,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,29.425012525882096
10,11.0,209.15064046553385,230.2872686614169,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.13662819588305
11,12.0,220.0250992029851,248.3175031108539,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,28.29240390786879
12,13.0,227.6118924693971,248.976830038245,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.364937568847893
13,14.0,244.78306599484404,265.74884884143086,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,20.96578284658682
14,15.0,252.12303338784554,280.1374448292935,1.0,0.0,1.0,0.0,1.0,2.0,3.0,1.0,28.014411441447947
15,16.0,256.0170116849946,284.9799222453319,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,28.96291056033732
16,17.0,282.48376894435904,309.90088809695993,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,27.41711915260089
17,18.0,282.90764273385065,310.6849461366558,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,27.77730340280516
18,19.0,321.2660932207128,342.57109077464975,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.30499755393697
19,20.0,344.46948884648776,365.90964445434366,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.4401556078559
20,21.0,365.97260900164497,387.1766834790231,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.20407447737813
21,22.0,376.73079318100804,406.199533062856,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,29.468739881847966
22,24.0,379.86822749148166,411.6115125025731,3.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,31.743285011091416
23,23.0,379.69653917820403,413.9675333929568,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,34.27099421475276
24,25.0,381.1575232628835,422.11201182894695,4.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,40.954488566063446
25,26.0,390.5486238707516,427.69661214945353,4.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,37.147988278701916
26,27.0,391.14835265935676,430.0945595649674,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,38.946206905610666
27,28.0,422.8196853328755,451.43418322387384,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,28.614497890998337
28,29.0,434.2114894186533,455.66372677333885,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,21.452237354685565
29,30.0,444.5940256707695,472.2891933943824,2.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,27.695167723612883
30,31.0,464.87061975965645,485.51450672072707,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.64388696107062
31,32.0,468.774081584407,497.3251325795924,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,28.551050995185392
32,33.0,506.49285813989013,534.946798700947,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.453940561056925
33,35.0,524.7893320146941,545.8417115931326,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,21.05237957843849
34,34.0,521.2662759762188,549.6679237107525,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,28.40164773453364
35,36.0,531.9565879255774,560.0373897511936,3.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,28.080801825616163
36,37.0,541.279635456325,562.457506913372,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,21.17787145704699
37,38.0,576.3645173049958,596.9887387011139,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.62422139611806
38,39.0,576.9397070906821,605.8283204805762,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,28.88861338989409
39,40.0,578.6336467883142,612.6158489860632,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,33.98220219774896
40,41.0,605.0036007919414,634.2734882727948,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,29.269887480853413
41,42.0,667.422257273799,696.9767634963662,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.55450622256717
42,43.0,670.7334138741251,697.5931367869583,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,26.859722912833263
43,44.0,687.012298906558,715.6305952931393,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,28.618296386581278
44,46.0,695.3811703443533,716.371937983108,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,20.99076763875462
45,45.0,694.13791944786,723.5378859549264,3.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,29.399966507066438
46,47.0,704.3203962883181,731.3348719007622,3.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,27.01447561244413
