,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,50.40163427017361,79.4550951199374,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.053460849763788
1,2.0,88.02726949503467,106.46524687226578,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.437977377231107
2,3.0,91.1659451318683,112.03704029443371,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.87109516256541
3,4.0,107.34483478928087,130.11439223512562,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,22.769557445844754
4,5.0,115.09221084343294,143.36678248284798,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,28.274571639415043
5,6.0,122.75510216458815,147.175697899924,2.0,0.0,2.0,0.0,1.0,1.0,2.0,2.0,24.420595735335837
6,7.0,151.83117357979032,172.33227857626167,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.501104996471355
7,8.0,160.67576452331352,178.7607006402071,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,18.084936116893573
8,9.0,167.3564488590619,188.022028084404,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.6655792253421
9,10.0,176.87699882748674,201.85797491447826,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,24.980976086991518
10,11.0,186.08478287811164,215.34163025727358,2.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,29.25684737916194
11,12.0,202.55536651414573,228.2092907349142,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,25.65392422076846
12,13.0,253.75524490372806,274.2802385481422,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.524993644414167
13,14.0,265.2037775089934,282.69050751348925,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,17.486730004495826
14,16.0,269.21666939423454,289.78994125212574,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,20.5732718578912
15,15.0,268.93482277219107,296.39719790741293,2.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,27.462375135221862
16,17.0,283.31232016415197,303.07273600362964,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,19.760415839477673
