,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,22.63465996802788,51.61078582905077,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.97612586102289
1,2.0,38.828633759481875,56.79235689255024,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,17.963723133068363
2,3.0,60.70898530479932,81.87532712465904,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.166341819859717
3,4.0,63.460525272973356,86.67265333856484,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,23.212128065591486
4,5.0,78.46503694969411,105.9235209886381,2.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,27.458484038943993
5,6.0,91.38374924897661,115.78992274052904,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,24.406173491552423
6,7.0,118.10069939735394,147.09446211237935,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.99376271502541
7,9.0,145.8929506956512,167.0303971979263,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,21.13744650227511
8,8.0,144.84722210717018,169.9135138012864,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,25.066291694116217
9,10.0,181.1030571979608,200.06603388849794,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.962976690537147
10,12.0,199.22703239770365,217.1963152152542,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,17.96928281755055
11,11.0,193.73858889560188,221.16392146974886,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,27.425332574146978
12,13.0,262.9601485522977,281.80137900594076,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.84123045364305
13,14.0,286.1454553535454,306.41656034295636,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.271104989410958
14,15.0,302.186317841432,321.15073656055085,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.96441871911884
15,16.0,362.4407629402066,388.75956014007863,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,26.31879719987205
16,17.0,407.2468151707547,426.5675824175604,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.3207672468057
17,18.0,410.6808450621861,430.7667682996719,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,20.085923237485815
18,20.0,436.83160509538243,456.71076368133413,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,19.8791585859517
19,19.0,433.93915311398933,459.71896475644763,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.7798116424583
20,21.0,456.5716670858805,476.61680717191143,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,20.045140086030926
21,22.0,497.35457393082163,516.2713720339841,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.916798103162478
22,23.0,547.3170652068799,566.9821662824464,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.665101075566554
23,24.0,564.3392444476257,589.9957340442483,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,25.656489596622578
24,25.0,582.4524811164031,610.3900773659835,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,27.93759624958045
25,26.0,585.9096017160455,610.9012019112872,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,24.991600195241745
26,27.0,596.7670227049125,622.3851248490835,2.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,25.61810214417096
27,28.0,623.0924249079599,648.665342685044,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,25.57291777708417
28,29.0,633.0656122929034,652.7623070186349,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.696694725731504
29,30.0,675.7293374394787,694.6822144022558,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.952876962777054
30,31.0,684.81668420243,712.0167196038285,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,27.20003540139851
