,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,17.334859781733968,38.33485978173397,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
1,2.0,85.10691205525625,103.10691205525625,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
2,3.0,92.5335700635225,121.5335700635225,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,29.0
3,4.0,105.24580956022105,130.24580956022106,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,25.000000000000014
4,5.0,254.90531258760416,275.90531258760416,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
5,6.0,279.13668327972056,297.13668327972056,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
6,7.0,291.50518761745616,312.50518761745616,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0
7,8.0,330.8757738206961,348.8757738206961,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
8,9.0,404.119024520218,425.119024520218,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
9,10.0,486.17500181008666,504.17500181008666,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
10,11.0,542.3992803495581,571.3992803495581,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.0
11,12.0,575.2650530163269,593.2650530163269,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
12,13.0,591.1203768647342,612.1203768647342,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0
13,14.0,619.1309485529036,644.1309485529036,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.0
14,16.0,630.6664918296892,651.1309485529036,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,20.464456723214425
15,15.0,625.4546712284714,654.4546712284714,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,29.0
16,17.0,654.0619196698775,681.0619196698775,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,27.0
17,18.0,1106.8160702222212,1125.8160702222212,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0
18,19.0,1159.1847558353984,1185.6847558353984,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,26.5
19,20.0,1252.6351225583799,1271.6351225583799,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0
20,21.0,1278.171101621677,1305.171101621677,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,27.0
21,22.0,1304.380867280802,1323.380867280802,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0
22,23.0,1321.1952700077386,1341.1952700077386,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.0
23,24.0,1426.2144046207063,1450.7144046207063,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,24.5
24,25.0,1435.4572758721629,1455.4572758721629,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,20.0
25,26.0,1480.1450740302785,1504.6450740302785,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,24.5
26,27.0,1535.4921962025041,1562.4921962025041,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,27.0
27,28.0,1555.4190735831935,1574.4190735831935,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.0
28,29.0,1565.6156530050764,1592.6156530050764,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,27.0
29,30.0,1737.2966269664978,1764.2966269664978,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,27.0
30,31.0,1856.5555281539323,1883.0555281539323,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,26.5
31,33.0,1959.558280501269,1980.558280501269,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
32,32.0,1957.9100238151195,1981.4100238151195,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,23.5
33,34.0,1978.1397761826668,1998.1397761826668,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,20.0
34,35.0,2017.2890835627077,2036.2890835627077,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0
35,36.0,2051.763623337784,2079.763623337784,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.0
36,37.0,2081.781546021391,2107.781546021391,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,26.0
37,38.0,2110.281980434642,2130.281980434642,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.0
38,39.0,2137.456251992244,2163.456251992244,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,26.0
39,41.0,2223.9888672426614,2242.9888672426614,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.0
40,40.0,2217.6533027861115,2245.6533027861115,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.0
41,43.0,2269.3945824549965,2288.3945824549965,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,19.0
42,42.0,2267.405342640285,2293.905342640285,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,26.5
43,44.0,2375.560370050821,2400.560370050821,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.0
44,45.0,2420.427695183219,2447.927695183219,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,27.5
45,46.0,2454.6753258133076,2472.6753258133076,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
46,47.0,2494.3372660480536,2515.3372660480536,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
47,48.0,2543.971515261196,2568.971515261196,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.0
48,49.0,2673.802989353024,2694.802989353024,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
49,50.0,2677.4434576175604,2695.4434576175604,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
50,51.0,2739.5936078233854,2760.5936078233854,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
51,52.0,2766.5248220541985,2784.5248220541985,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
52,53.0,2777.712490337929,2798.712490337929,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.0
53,54.0,2827.3837553684393,2852.3837553684393,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.0
54,55.0,2926.671549277632,2947.671549277632,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
55,56.0,3012.349711497626,3030.349711497626,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
56,57.0,3029.5666509438274,3058.5666509438274,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,29.0
57,58.0,3061.2619521407664,3079.2619521407664,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
58,59.0,3114.2294333653113,3135.2294333653113,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
59,60.0,3129.3651882016848,3147.3651882016848,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,18.0
60,61.0,3374.261257710756,3395.261257710756,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
61,62.0,3405.8063375717607,3423.8063375717607,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
62,63.0,3408.533616801036,3437.533616801036,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,29.0
63,64.0,3525.1804999503042,3550.1804999503042,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.0
64,65.0,3611.112803137337,3640.112803137337,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,29.0
65,66.0,3616.9042310705604,3641.9042310705604,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,25.0
66,67.0,3790.036396648114,3811.036396648114,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
67,68.0,3799.7719672496505,3824.7719672496505,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,25.0
68,69.0,3800.654333683551,3829.654333683551,2.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,29.0
69,70.0,3802.6157709904255,3831.7719672496505,3.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,29.156196259225
70,71.0,3823.163881626658,3844.163881626658,3.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,21.0
71,72.0,3850.330616239606,3868.330616239606,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
72,73.0,3866.1350642009393,3893.6350642009393,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,27.5
73,74.0,3947.027837915292,3965.027837915292,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.0
74,75.0,3988.3585234846973,4009.3585234846973,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.0
75,76.0,4065.165234213188,4089.665234213188,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,24.5
76,77.0,4067.072243537389,4094.072243537389,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,27.0
