,Job No,Arrival Time,Completion Time,No Jobs in System,No Jobs at Stage 1,No Jobs at Stage 2,No Jobs at Stage 3,Stage 1 Job Size,Stage 2 Job Size,Job Type,Stage 3 Job Size,Job Time
0,1.0,17.334859781733968,38.30708855292746,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.972228771193492
1,2.0,85.10691205525625,102.95627598825142,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.849363932995175
2,3.0,109.33828274737266,130.4516176334924,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.11333488611973
3,4.0,148.70886895061258,166.73643338585768,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.027564435245097
4,5.0,204.93314749008402,225.44887005525894,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.51572256517491
5,6.0,220.78847133849143,245.6814227358839,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,24.892951397392466
6,7.0,226.00029193970926,247.0449426727094,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,21.04465073300014
7,8.0,249.3957197798975,273.9871418127096,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,24.59142203281209
8,9.0,275.60548543902246,296.43388102544105,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.828395586418594
9,10.0,380.6246200519902,405.51521239588556,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,24.890592343895378
10,11.0,400.55149743267947,429.50385508342134,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,28.952357650741874
11,12.0,572.2324713941008,589.8068717171105,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.57440032300974
12,13.0,611.3817787741417,640.1617258028843,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.77994702874264
13,14.0,641.3997014577488,666.2439579850816,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,24.844256527332732
14,15.0,721.5967522516166,742.6201781083255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.023425856708855
15,16.0,765.0132276492402,787.6907587689404,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,22.677531119700234
16,17.0,799.2608582793289,820.5473128393949,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.286454560065977
17,18.0,848.8951074924717,866.5429180107909,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.64781051831926
18,19.0,875.8263217232849,897.1684285923408,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.342106869055897
19,20.0,925.4975867537954,943.4941859898257,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.996599236030306
20,21.0,942.7145261999971,963.4832091865725,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.768682986575413
21,22.0,995.6820074245418,1013.7064053402645,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.024397915722716
22,23.0,998.4092866538169,1027.5533741591194,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,29.144087505302423
23,24.0,1115.0561698030856,1132.9476322554708,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.891462452385213
24,26.0,1126.7531777114962,1145.5642584518732,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,18.811080740377065
25,25.0,1124.791740404622,1150.8730064339397,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,26.081266029317703
26,27.0,1153.919912324444,1174.0682964830226,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.148384158578438
27,28.0,1230.7266230529344,1257.3022584745647,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,26.575635421630295
28,29.0,1301.1140841555773,1321.371379477704,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.257295322126765
29,30.0,1381.454327021164,1406.531242152957,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,25.07691513179293
30,31.0,1410.5643838478018,1438.5077463045359,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,27.94336245673412
31,32.0,1488.8635873834676,1507.9286282208877,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.065040837420156
32,33.0,1514.0068797990943,1539.6073875546988,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,25.60050775560444
33,34.0,1548.584279467537,1567.47201512308,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.887735655542883
34,35.0,1628.1003236460774,1656.5055617435703,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,28.405238097492884
35,36.0,1698.900699133073,1724.9237044843717,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,26.023005351298707
36,37.0,1810.436263586008,1830.6685778802866,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.232314294278694
37,38.0,1855.040981130626,1874.2369866405566,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.1960055099305
38,39.0,1856.2955232929685,1881.6165133156048,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,25.32099002263635
39,40.0,1979.2635236466242,2004.5810329266383,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,25.317509280014065
40,41.0,1981.1674660062313,2006.527580094737,1.0,1.0,0.0,0.0,1.0,2.0,3.0,1.0,25.360114088505725
41,42.0,2049.215025643723,2074.9263007649656,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.71127512124258
42,43.0,2070.007984964906,2097.7813299602726,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,27.773344995366642
43,44.0,2126.3377567529387,2152.121458234197,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.78370148125805
44,45.0,2143.1630778276535,2168.357459851261,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,25.19438202360743
45,46.0,2152.8389569718533,2171.851219472961,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.01226250110767
46,47.0,2182.0841223271586,2209.474203545937,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,27.390081218778505
47,48.0,2251.183192668815,2276.0605084532895,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,24.877315784474376
48,49.0,2283.9073086859253,2309.3033082295206,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,25.39599954359528
49,50.0,2390.7002093773685,2409.969529971658,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.26932059428964
50,51.0,2494.322403879755,2514.2262395976195,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.903835717864695
51,52.0,2654.855169776191,2673.737607079371,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.882437303180268
52,53.0,2868.6999275450603,2888.2862585660014,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,19.58633102094109
53,54.0,2937.417083154414,2956.2606960484477,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.843612894033868
54,55.0,2965.999994743204,2986.109468478624,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,20.109473735420124
55,56.0,3021.32302789462,3040.101772983535,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.778745088915002
56,57.0,3029.968174153051,3049.720586262467,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,19.752412109415673
57,58.0,3091.5137001570392,3110.4248772410633,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,18.911177084024075
58,59.0,3104.8946231570217,3124.4808881341373,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.58626497711566
59,60.0,3130.3498085993706,3156.1239782678676,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.774169668497052
60,61.0,3133.8285606407417,3161.4673190641524,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,27.638758423410763
61,62.0,3256.926426399118,3282.7069226559374,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,25.780496256819333
62,63.0,3334.224536906803,3360.5721421873136,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,26.34760528051038
63,64.0,3334.842124246183,3361.5763044037317,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,26.734180157548508
64,65.0,3405.4063783798206,3429.2581562521304,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,23.851777872309867
65,66.0,3439.9484600968253,3461.1969312343695,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,21.24847113754413
66,67.0,3500.1206069426034,3518.0666150267325,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.946008084129062
